"date","loudness","weekday","month","week","day","avg_loudness","pcat","text_col"
2023-01-01,-7.37543902439024,"Sun","January",0,1,-7.37543902439024,"(-7.39,-7.29]","black"
2023-01-02,-7.49131325301205,"Mon","January",1,2,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-03,-7.49131325301205,"Tue","January",1,3,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-04,-7.49131325301205,"Wed","January",1,4,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-05,-7.49131325301205,"Thu","January",1,5,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-06,-7.49131325301205,"Fri","January",1,6,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-7.463,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-8.744,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-8.463,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-8.228,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-13.056,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-8.435,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-6.645,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-7.384,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-5.747,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-7.364,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-7.013,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-5.439,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
2023-01-07,-7.146,"Sat","January",1,7,-7.49131325301205,"(-7.5,-7.39]","black"
