"date","speechiness","weekday","month","week","day","avg_speechiness","pcat","text_col"
2023-01-01,0.0865939024390244,"Sun","January",0,1,0.0865939024390244,"(0.0837,0.0888]","black"
2023-01-02,0.0628530120481928,"Mon","January",1,2,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-03,0.0628530120481928,"Tue","January",1,3,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-04,0.0628530120481928,"Wed","January",1,4,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-05,0.0628530120481928,"Thu","January",1,5,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-06,0.0628530120481928,"Fri","January",1,6,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0384,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0496,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0363,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0278,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0303,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0369,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.062,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0707,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0391,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.117,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0287,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0537,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.053,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0343,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.049,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.257,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0522,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0425,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0582,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0448,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0495,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0328,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0355,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0557,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0912,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0324,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.111,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0607,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0376,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0355,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0329,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.04,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0421,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0357,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0703,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0329,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0322,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0327,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.211,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.102,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0336,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.36,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.204,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0352,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0315,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0388,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0285,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0275,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.162,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
2023-01-07,0.0592,"Sat","January",1,7,0.0628530120481928,"(0.058,0.0631]","black"
